date,Asset_A,Asset_B,Asset_C,Asset_D
2024-01-01,100.0,50.0,150.0,80.0
2024-01-02,99.73,49.83,151.32,80.47
2024-01-03,99.2,49.84,150.52,79.95
2024-01-04,99.48,49.29,148.55,79.19
2024-01-05,98.33,49.02,146.75,77.73
2024-01-06,99.97,49.49,148.14,77.82
2024-01-07,99.35,49.32,146.5,77.55
2024-01-08,98.68,49.0,145.27,78.03
2024-01-09,98.66,48.65,145.83,77.3
2024-01-10,98.9,48.09,144.27,77.0
2024-01-11,99.72,48.42,144.88,77.29
2024-01-12,98.05,47.64,142.89,76.77
2024-01-13,98.44,47.21,143.12,76.52
2024-01-14,97.68,47.16,143.63,76.86
2024-01-15,96.75,46.76,143.11,76.87
2024-01-16,96.23,46.54,141.56,75.76
2024-01-17,97.11,47.24,142.53,76.98
2024-01-18,97.51,47.17,143.07,77.94
2024-01-19,97.47,47.65,140.86,78.25
2024-01-20,97.57,47.58,140.96,77.2
2024-01-21,97.33,47.62,142.24,77.08
2024-01-22,96.43,47.17,142.27,76.81
2024-01-23,95.86,47.14,142.0,77.11
2024-01-24,95.09,46.79,140.91,75.81
2024-01-25,95.41,46.97,141.24,75.91
2024-01-26,93.88,46.34,139.53,74.54
2024-01-27,93.71,46.41,141.26,74.87
2024-01-28,93.98,46.48,139.64,74.72
2024-01-29,94.05,47.26,140.06,75.3
2024-01-30,94.01,46.88,140.85,75.63
2024-01-31,94.86,46.88,142.7,75.41
2024-02-01,95.49,47.77,142.77,75.7
2024-02-02,95.6,47.65,141.26,75.49
2024-02-03,94.44,47.41,139.52,75.62
2024-02-04,93.61,47.03,139.52,74.59
2024-02-05,93.85,47.52,138.5,74.81
2024-02-06,94.12,47.86,137.74,74.24
2024-02-07,94.68,48.15,138.5,74.8
2024-02-08,93.95,47.97,138.22,74.12
2024-02-09,95.94,48.8,138.87,75.44
2024-02-10,94.88,48.7,139.26,74.75
2024-02-11,95.92,49.19,140.98,76.46
2024-02-12,95.65,48.85,139.75,75.63
2024-02-13,95.57,48.93,140.02,76.11
