date,Market_Index,Risk_Free_Rate,Volatility_Index,Sector_A,Sector_B,Sector_C,Correlation_AB,Correlation_AC,Correlation_BC
2024-01-01,1000.0,0.045,15.0,25.0,15.5,20.3,0.85,0.78,0.72
2024-01-02,1003.71,0.045,14.6,24.9,15.4,20.5,0.86,0.79,0.73
2024-01-03,998.75,0.0451,15.5,24.8,15.5,20.4,0.86,0.79,0.73
2024-01-04,991.14,0.0451,15.8,24.9,15.3,20.1,0.87,0.8,0.74
2024-01-05,978.95,0.0452,16.0,24.6,15.2,19.9,0.88,0.8,0.75
2024-01-06,989.06,0.0452,14.0,25.0,15.3,20.0,0.88,0.81,0.75
2024-01-07,981.48,0.0453,15.8,24.8,15.3,19.8,0.89,0.81,0.76
2024-01-08,976.15,0.0453,15.5,24.7,15.2,19.7,0.89,0.82,0.76
2024-01-09,975.61,0.0454,15.1,24.7,15.1,19.7,0.9,0.82,0.77
2024-01-10,969.99,0.0454,15.6,24.7,14.9,19.5,0.91,0.83,0.78
2024-01-11,975.47,0.0455,14.4,24.9,15.0,19.6,0.91,0.83,0.78
2024-01-12,962.02,0.0455,16.0,24.5,14.8,19.3,0.92,0.84,0.79
2024-01-13,962.51,0.0456,14.9,24.6,14.6,19.4,0.93,0.84,0.8
2024-01-14,962.35,0.0456,15.0,24.4,14.6,19.4,0.93,0.85,0.8
2024-01-15,957.27,0.0457,15.5,24.2,14.5,19.4,0.94,0.85,0.81
2024-01-16,948.49,0.0457,15.9,24.1,14.4,19.2,0.95,0.86,0.82
2024-01-17,957.78,0.0457,14.0,24.3,14.6,19.3,0.95,0.86,0.82
2024-01-18,962.34,0.0458,14.5,24.4,14.6,19.4,0.96,0.87,0.83
2024-01-19,957.22,0.0458,15.5,24.4,14.8,19.1,0.96,0.87,0.83
2024-01-20,955.59,0.0459,15.2,24.4,14.7,19.1,0.97,0.88,0.84
2024-01-21,958.52,0.0459,14.7,24.3,14.8,19.2,0.98,0.88,0.85
2024-01-22,954.51,0.046,15.4,24.1,14.6,19.3,0.98,0.89,0.85
2024-01-23,952.55,0.046,15.2,24.0,14.6,19.2,0.99,0.9,0.86
2024-01-24,943.76,0.0461,15.9,23.8,14.5,19.1,1.0,0.9,0.87
2024-01-25,946.25,0.0461,14.7,23.9,14.6,19.1,1.0,0.91,0.87
2024-01-26,932.66,0.0462,16.0,23.5,14.4,18.9,1.01,0.91,0.88
2024-01-27,938.09,0.0462,14.4,23.4,14.4,19.1,1.02,0.92,0.89
2024-01-28,933.92,0.0463,15.4,23.5,14.4,18.9,1.02,0.92,0.89
2024-01-29,938.07,0.0463,14.6,23.5,14.7,19.0,1.03,0.93,0.9
2024-01-30,940.2,0.0463,14.8,23.5,14.5,19.1,1.03,0.93,0.9
2024-01-31,947.78,0.0464,14.2,23.7,14.5,19.3,1.04,0.94,0.91
2024-02-01,952.2,0.0464,14.5,23.9,14.8,19.3,1.05,0.94,0.92
2024-02-02,947.39,0.0465,15.5,23.9,14.8,19.1,1.05,0.95,0.92
2024-02-03,938.55,0.0465,15.9,23.6,14.7,18.9,1.06,0.95,0.93
2024-02-04,933.3,0.0466,15.6,23.4,14.6,18.9,1.07,0.96,0.94
2024-02-05,932.39,0.0466,15.1,23.5,14.7,18.7,1.07,0.96,0.94
2024-02-06,930.48,0.0467,15.2,23.5,14.8,18.6,1.08,0.97,0.95
2024-02-07,936.08,0.0467,14.4,23.7,14.9,18.7,1.09,0.97,0.96
2024-02-08,931.38,0.0468,15.5,23.5,14.9,18.7,1.09,0.98,0.96
2024-02-09,943.48,0.0468,13.7,24.0,15.1,18.8,1.1,0.98,0.97
2024-02-10,939.92,0.0469,15.4,23.7,15.1,18.8,1.1,0.99,0.97
2024-02-11,952.48,0.0469,13.7,24.0,15.2,19.1,1.11,0.99,0.98
2024-02-12,945.7,0.047,15.7,23.9,15.1,18.9,1.12,1.0,0.99
2024-02-13,947.38,0.047,14.8,23.9,15.2,18.9,1.12,1.0,0.99
