date,Asset_A_Return,Asset_B_Return,Asset_C_Return,Asset_D_Return,Volume_A,Volume_B,Volume_C,Volume_D
2024-01-01,0.0,0.0,0.0,0.0,5003250,3218030,1973534,4544033
2024-01-02,-0.0027,-0.0034,0.0088,0.0059,5156416,2871426,1892910,4096494
2024-01-03,-0.0053,0.0002,-0.0053,-0.0065,4944134,3107100,2047323,3985434
2024-01-04,0.0028,-0.011,-0.0131,-0.0095,4788301,2772772,1955348,4171279
2024-01-05,-0.0116,-0.0055,-0.0121,-0.0184,5053523,2813139,2017318,4077063
2024-01-06,0.0167,0.0096,0.0095,0.0012,4779035,3023058,2005820,3771405
2024-01-07,-0.0062,-0.0034,-0.0111,-0.0035,5089446,3084117,2108305,4210760
2024-01-08,-0.0067,-0.0065,-0.0084,0.0062,4655582,2859326,2051503,4102757
2024-01-09,-0.0002,-0.0071,0.0039,-0.0094,5128761,3577909,2057089,4227113
2024-01-10,0.0024,-0.0115,-0.0107,-0.0039,5238500,3097708,1968473,4151793
2024-01-11,0.0083,0.0069,0.0042,0.0038,4806793,2964477,1951463,4016374
2024-01-12,-0.0167,-0.0161,-0.0137,-0.0067,5578664,2719910,2068626,3677456
2024-01-13,0.004,-0.009,0.0016,-0.0033,4882017,3163342,2006428,3784451
2024-01-14,-0.0077,-0.0011,0.0036,0.0044,4821174,3101939,1926963,4043291
2024-01-15,-0.0095,-0.0085,-0.0036,0.0001,5011392,2902259,2214394,4126783
2024-01-16,-0.0054,-0.0047,-0.0108,-0.0144,4493714,3027968,1933821,4170486
2024-01-17,0.0091,0.015,0.0069,0.0161,4801869,2982789,2050498,4173151
2024-01-18,0.0041,-0.0015,0.0038,0.0125,4699925,2949824,1952505,3869334
2024-01-19,-0.0004,0.0102,-0.0154,0.004,5441363,3060747,1873911,4183572
2024-01-20,0.001,-0.0015,0.0007,-0.0134,5530539,3154869,1848063,3903153
2024-01-21,-0.0025,0.0008,0.0091,-0.0016,5316727,2893849,2044381,4154926
2024-01-22,-0.0092,-0.0094,0.0002,-0.0035,4768267,2991071,1675873,3795122
2024-01-23,-0.0059,-0.0006,-0.0019,0.0039,4936857,2812832,2163241,3713971
2024-01-24,-0.008,-0.0074,-0.0077,-0.0169,4889988,3019611,2144127,3712827
2024-01-25,0.0034,0.0038,0.0023,0.0013,5290790,3001534,1901849,4092420
2024-01-26,-0.016,-0.0134,-0.0121,-0.018,5049764,2909967,2006980,3922937
2024-01-27,-0.0018,0.0015,0.0124,0.0044,5028379,3099319,2158601,3752436
2024-01-28,0.0029,0.0015,-0.0115,-0.002,5533258,2707186,1984821,4117663
2024-01-29,0.0007,0.0168,0.003,0.0078,5070247,2906595,1979187,3901399
2024-01-30,-0.0004,-0.008,0.0056,0.0044,4852658,3127440,2035701,3861418
2024-01-31,0.009,0.0,0.0131,-0.0029,5224899,3046094,2081286,4125925
2024-02-01,0.0066,0.019,0.0005,0.0038,4792751,2915972,2074729,4122074
2024-02-02,0.0012,-0.0025,-0.0106,-0.0028,4994774,3017599,2127766,3881685
2024-02-03,-0.0121,-0.005,-0.0123,0.0017,5136774,2969671,1978231,4219755
2024-02-04,-0.0088,-0.008,0.0,-0.0136,5206354,3122026,2130547,4004200
2024-02-05,0.0026,0.0104,-0.0073,0.0029,5170488,2953459,2032416,3973971
2024-02-06,0.0029,0.0072,-0.0055,-0.0076,5024248,3089273,1918177,4418477
2024-02-07,0.0059,0.0061,0.0055,0.0075,4748495,2817871,2115811,4158332
2024-02-08,-0.0077,-0.0037,-0.002,-0.0091,5156029,3094251,1998775,3820549
2024-02-09,0.0212,0.0173,0.0047,0.0178,5018951,2898425,2097511,3970588
2024-02-10,-0.011,-0.002,0.0028,-0.0091,4793625,2951792,2041293,3887255
2024-02-11,0.011,0.0101,0.0124,0.0229,4794444,3036553,2024496,3898611
2024-02-12,-0.0028,-0.0069,-0.0087,-0.0109,4882240,3034807,1855191,3718507
2024-02-13,-0.0008,0.0016,0.0019,0.0063,4820388,2967982,2031090,4295071
